No.,名称,☆,タイプ1,タイプ2,主属性,副属性,HP,攻撃,回復,コスト,スキル,リーダースキル,覚醒数,ギガグラ,最大Lv,,最大HP,最大攻撃,最大回復,HP指数,攻撃指数,回復指数,覚醒スキル1,覚醒スキル2,覚醒スキル3,覚醒スキル4,覚醒スキル5,覚醒スキル6,覚醒スキル7,覚醒スキル8,覚醒スキル9,,
323,碧炎星・イフリート,6,ドラゴン,バランス,火,木,798,421,105,20,マグマブレス,碧炎の星,3,,99 ,,2477,1488,360,1.5,1.5,1.5,火属性強化,スキルブースト,火属性強化,,,,,,,,
324,輝炎星・イフリート,6,ドラゴン,回復,火,光,798,421,105,20,マグマブレス,輝炎の星,3,,99 ,,2427,1238,510,1.5,1.5,1.5,火属性強化,スキルブースト,火属性強化,,,,,,,,
325,黒炎星・イフリート,6,ドラゴン,悪魔,火,闇,798,421,105,20,マグマブレス,黒炎の星,3,,99 ,,2627,1588,250,1.5,1.5,1.5,火属性強化,スキルブースト,火属性強化,,,,,,,,
326,紅氷星・リヴァイアサン,6,ドラゴン,攻撃,水,火,861,416,105,20,ブリザードブレス,紅氷の星,3,,99 ,,2609,1655,231,1.5,1.5,1.5,水属性強化,スキルブースト,水属性強化,,,,,,,,
327,碧氷星・リヴァイアサン,6,ドラゴン,バランス,水,木,861,416,105,20,ブリザードブレス,碧氷の星,3,,99 ,,2709,1405,351,1.5,1.5,1.5,水属性強化,スキルブースト,水属性強化,,,,,,,,
328,輝氷星・リヴァイアサン,6,ドラゴン,体力,水,光,861,416,105,20,ブリザードブレス,輝氷の星,3,,99 ,,3309,1205,291,1.5,1.5,1.5,水属性強化,スキルブースト,水属性強化,,,,,,,,
329,黒氷星・リヴァイアサン,6,ドラゴン,悪魔,水,闇,861,416,105,20,ブリザードブレス,黒氷の星,3,,99 ,,2709,1505,291,1.5,1.5,1.5,水属性強化,スキルブースト,水属性強化,,,,,,,,
330,紅樹星・ファフニール,6,ドラゴン,攻撃,木,火,777,451,95,20,ガイアブレス,紅樹の星,3,,99 ,,2510,1462,361,1.5,1.5,1.5,木属性強化,スキルブースト,木属性強化,,,,,,,,
331,蒼樹星・ファフニール,6,ドラゴン,バランス,木,水,777,451,95,20,ガイアブレス,蒼樹の星,3,,99 ,,3160,1362,231,1.5,1.5,1.5,木属性強化,スキルブースト,木属性強化,,,,,,,,
332,輝樹星・ファフニール,6,ドラゴン,回復,木,光,777,451,95,20,ガイアブレス,輝樹の星,3,,99 ,,2810,1262,401,1.5,1.5,1.5,木属性強化,スキルブースト,木属性強化,,,,,,,,
333,黒樹星・ファフニール,6,ドラゴン,悪魔,木,闇,777,451,95,20,ガイアブレス,黒樹の星,3,,99 ,,2760,1512,251,1.5,1.5,1.5,木属性強化,スキルブースト,木属性強化,,,,,,,,
334,紅光星・神龍,6,ドラゴン,体力,光,火,756,426,121,20,ホーリーブレス,紅光の星,3,,99 ,,2927,1313,275,1.5,1.5,1.5,光属性強化,スキルブースト,光属性強化,,,,,,,,
335,蒼光星・神龍,6,ドラゴン,バランス,光,水,756,426,121,20,ホーリーブレス,蒼光の星,3,,99 ,,2477,1413,355,1.5,1.5,1.5,光属性強化,スキルブースト,光属性強化,,,,,,,,
336,碧光星・神龍,6,ドラゴン,神,光,木,756,426,121,20,ホーリーブレス,碧光の星,3,,99 ,,2527,1313,395,1.5,1.5,1.5,光属性強化,スキルブースト,光属性強化,,,,,,,,
337,黒光星・神龍,6,ドラゴン,悪魔,光,闇,756,426,121,20,ホーリーブレス,黒光の星,3,,99 ,,2627,1463,275,1.5,1.5,1.5,光属性強化,スキルブースト,光属性強化,,,,,,,,
338,紅闇星・ティアマット,6,ドラゴン,体力,闇,火,812,457,74,20,ヘルブレス,紅闇の星,3,,99 ,,3010,1404,198,1.5,1.5,1.5,闇属性強化,スキルブースト,闇属性強化,,,,,,,,
339,蒼闇星・ティアマット,6,ドラゴン,攻撃,闇,水,812,457,74,20,ヘルブレス,蒼闇の星,3,,99 ,,2510,1654,198,1.5,1.5,1.5,闇属性強化,スキルブースト,闇属性強化,,,,,,,,
340,碧闇星・ティアマット,6,ドラゴン,悪魔,闇,木,812,457,74,20,ヘルブレス,碧闇の星,3,,99 ,,2510,1554,258,1.5,1.5,1.5,闇属性強化,スキルブースト,闇属性強化,,,,,,,,
341,輝闇星・ティアマット,6,ドラゴン,回復,闇,光,812,457,74,20,ヘルブレス,輝闇の星,3,,99 ,,2510,1254,438,1.5,1.5,1.5,闇属性強化,スキルブースト,闇属性強化,,,,,,,,
342,ECO・サラマンダー,3,バランス,,火,,232,112,88,6,なし,火の魂,0,,25 ,,742,358,185,1.0,1.0,1.0,,,,,,,,,,,
343,ECO・サラマンダー・アルマ,4,バランス,,火,,594,322,167,12,防御態勢・火,火の魂,2,,70 ,,1604,805,251,1.0,1.0,1.0,火属性強化,HP強化,,,,,,,,,
344,ECO・ペペン,3,バランス,,水,,221,106,99,6,なし,水の魂,0,,25 ,,707,339,208,1.0,1.0,1.0,,,,,,,,,,,
345,ECO・ペペン・アルマ,4,バランス,,水,,566,305,187,12,吸魔の光,水の魂,2,,70 ,,1528,763,281,1.0,1.0,1.0,水属性強化,HP強化,,,,,,,,,
346,ECO・シャボタン,3,バランス,,木,,226,104,103,6,なし,木の魂,0,,25 ,,723,333,216,1.0,1.0,1.0,,,,,,,,,,,
347,ECO・シャボタン・アルマ,4,バランス,,木,,578,300,194,12,防御態勢・木,木の魂,2,,70 ,,1561,750,291,1.0,1.0,1.0,木属性強化,HP強化,,,,,,,,,
348,ECO・ベイビータイニー,4,バランス,,光,,214,99,115,6,チェンジ・ザ・ワールド,タイニーエール,0,,25 ,,685,317,242,1.0,1.0,1.0,,,,,,,,,,,
349,ECO・タイニー,4,バランス,,光,,548,285,218,12,チェンジ・ザ・ワールド,タイニーエール,2,,70 ,,1480,713,327,1.0,1.0,1.0,光属性強化,自動回復,,,,,,,,,
350,フォーミュラー,4,ドラゴン,,光,,398,222,77,15,フレイムバースト,なし,0,,25 ,,796,333,154,1.0,1.5,1.5,,,,,,,,,,,
351,炎聖騎龍・フォーミュラー,5,ドラゴン,,光,火,637,300,139,20,フレイムバースト,炎聖護法陣,3,,99 ,,1911,1140,278,1.0,1.0,1.0,HP強化,攻撃強化,回復強化,,,,,,,,
352,シャイターン,4,バランス,,火,,215,280,129,8,爆炎の結界,炎の祈り,0,,35 ,,559,588,271,1.0,1.0,1.0,,,,,,,,,,,
353,怒りと炎の精霊・シャイターン,5,バランス,悪魔,火,,447,529,244,16,爆炎の結界,炎の祈り,3,,99 ,,1028,1270,366,1.0,1.0,1.0,スキルブースト,回復強化,火属性強化,火ドロップ強化,火ドロップ強化,,,,,,
354,ウンディーネ,4,バランス,,水,,210,263,137,8,激流の結界,水の祈り,0,,35 ,,546,552,288,1.0,1.0,1.0,,,,,,,,,,,
355,愛と水の精霊・ウンディーネ,5,バランス,,水,,437,497,259,16,激流の結界,水の祈り,3,,99 ,,1005,1193,389,1.0,1.0,1.0,スキルブースト,回復強化,水属性強化,水ドロップ強化,水ドロップ強化,,,,,,
356,シルフ,4,バランス,,木,,206,270,132,8,大地の結界,風の祈り,0,,35 ,,536,567,277,1.0,1.0,1.0,,,,,,,,,,,
357,自由と風の精霊・シルフ,5,バランス,,木,,429,510,249,16,大地の結界,風の祈り,3,,99 ,,987,1224,374,1.0,1.0,1.0,スキルブースト,回復強化,木属性強化,木ドロップ強化,木ドロップ強化,,,,,,
358,ジーニャ,4,バランス,,光,,201,266,140,8,閃光の結界,光の祈り,0,,35 ,,523,559,294,1.0,1.0,1.0,,,,,,,,,,,
359,富と光の精霊・ジーニャ,5,バランス,,光,,418,503,265,16,閃光の結界,光の祈り,3,,99 ,,961,1207,398,1.0,1.0,1.0,スキルブースト,回復強化,光属性強化,光ドロップ強化,光ドロップ強化,,,,,,
360,タナトス,4,バランス,,闇,,209,276,121,8,暗黒の結界,闇の祈り,0,,35 ,,543,580,254,1.0,1.0,1.0,,,,,,,,,,,
361,死と闇の精霊・タナトス,5,バランス,悪魔,闇,,434,522,229,16,暗黒の結界,闇の祈り,3,,99 ,,998,1253,344,1.0,1.0,1.0,スキルブースト,回復強化,闇属性強化,闇ドロップ強化,闇ドロップ強化,,,,,,
362,オーディン,5,神,,木,,1123,758,144,25,グングニール,守りの衣,0,,50 ,,2358,985,288,1.0,1.0,1.0,,,,,,,,,,,
363,覚醒オーディン,6,神,バランス,木,光,1886,887,259,45,グングニール,守りの衣,5,,99 ,,4149,1203,518,1.0,1.0,1.0,スキルブースト,バインド耐性,バインド耐性,スキルブースト,自動回復,,,,,,
364,秘神・オーディン,6,神,,水,,1158,783,152,30,魔槍グングニール,ルーン・オブ・フェイト,0,,50 ,,2432,1018,304,1.0,1.0,1.0,,,,,,,,,,,
365,覚醒秘神・オーディン,7,神,体力,水,闇,1946,916,274,50,魔槍グングニール,グレイス・オブ・ミーミル,6,,99 ,,4531,1191,548,1.0,1.0,1.0,スキルブースト,水属性強化,水属性強化,スキルブースト,スキルブースト,水属性強化,,,,,
366,プラン,4,ドラゴン,,木,,267,233,91,15,フリーズバースト,なし,0,,25 ,,734,396,182,0.7,1.5,1.5,,,,,,,,,,,
367,覚醒プラン,5,ドラゴン,,木,水,587,356,164,20,フリーズバースト,龍姫の祈り,0,,99 ,,1585,1175,328,0.7,0.7,0.7,,,,,,,,,,,
368,フレイ,5,神,,火,,526,482,154,20,フレイムエンハンス,火の魂,0,,50 ,,1262,964,323,1.5,1.5,1.5,,,,,,,,,,,
369,勝利の神・フレイ,6,神,,火,,1010,868,291,30,フレイムエンハンス,焔の魂,4,,99 ,,2525,1302,437,1.5,1.5,1.5,火属性強化,HP強化,火属性強化,スキルブースト,,,,,,,
370,イズン＆イズーナ,5,神,,水,,503,456,183,20,ウォーターエンハンス,水の魂,0,,50 ,,1207,912,384,1.5,1.5,1.5,,,,,,,,,,,
371,双星の女神・イズン＆イズーナ,6,神,,水,,966,821,346,30,ウォーターエンハンス,氷の魂,4,,99 ,,2415,1232,519,1.5,1.5,1.5,水属性強化,HP強化,水属性強化,スキルブースト,,,,,,,
372,フレイヤ,5,神,,木,,507,450,180,20,アースエンハンス,木の魂,0,,50 ,,1217,900,378,1.5,1.5,1.5,,,,,,,,,,,
373,大地の女神・フレイヤ,6,神,,木,,974,810,340,30,アースエンハンス,大樹の魂,4,,99 ,,2435,1215,510,1.5,1.5,1.5,木属性強化,HP強化,木属性強化,スキルブースト,,,,,,,
374,トール,5,神,,光,,586,500,100,20,サンダーエンハンス,光の魂,0,,50 ,,1406,1000,210,1.5,1.5,1.5,,,,,,,,,,,
375,雷の戦神・トール,6,神,,光,,1125,900,189,30,サンダーエンハンス,雷の魂,4,,99 ,,2813,1350,284,1.5,1.5,1.5,光属性強化,攻撃強化,光属性強化,スキルブースト,,,,,,,
376,ロキ,5,神,,闇,,514,467,168,20,ダークエンハンス,闇の魂,0,,50 ,,1234,934,353,1.5,1.5,1.5,,,,,,,,,,,
377,狡知の神・ロキ,6,神,,闇,,987,841,318,30,ダークエンハンス,悪の魂,4,,99 ,,2468,1262,477,1.5,1.5,1.5,闇属性強化,HP強化,闇属性強化,スキルブースト,,,,,,,
378,ディノライダー,5,攻撃,,火,木,176,165,28,8,ダブルドロップ変化・火木,突撃陣形,0,,50 ,,704,578,59,1.0,1.0,1.0,,,,,,,,,,,
379,ディノライダー・ドレーク,6,攻撃,ドラゴン,火,木,563,520,53,16,ダブルドロップ変化・火木,背水の陣,3,,99 ,,2002,1560,80,1.0,1.0,1.0,火属性強化,攻撃強化,木属性強化,,,,,,,,
380,ビーストライダー,5,攻撃,,水,火,181,164,36,8,ダブルドロップ変化・水火,突撃陣形,0,,50 ,,724,574,76,1.0,1.0,1.0,,,,,,,,,,,
381,ビーストライダー・マーリン,6,攻撃,悪魔,水,火,579,517,68,16,ダブルドロップ変化・水火,背水の陣,3,,99 ,,1853,1551,102,1.0,1.0,1.0,水属性強化,攻撃強化,火属性強化,,,,,,,,
382,マリンライダー,5,攻撃,,木,水,170,163,34,8,ダブルドロップ変化・木水,突撃陣形,0,,50 ,,680,571,71,1.0,1.0,1.0,,,,,,,,,,,
383,マリンライダー・ロビン,6,攻撃,悪魔,木,水,544,514,64,16,ダブルドロップ変化・木水,背水の陣,3,,99 ,,1741,1542,96,1.0,1.0,1.0,木属性強化,攻撃強化,水属性強化,,,,,,,,
384,ドラゴンライダー,5,攻撃,,光,闇,179,168,25,8,ダブルドロップ変化・光闇,突撃陣形,0,,50 ,,716,521,53,1.0,1.0,1.0,,,,,,,,,,,
385,ドラゴンライダー・アーサー,6,攻撃,ドラゴン,光,闇,573,469,48,16,ダブルドロップ変化・光闇,背水の陣,3,,99 ,,2206,1407,72,1.0,1.0,1.0,光属性強化,攻撃強化,闇属性強化,,,,,,,,
386,グリプスライダー,5,攻撃,,闇,光,174,169,30,8,ダブルドロップ変化・闇光,突撃陣形,0,,50 ,,696,524,63,1.0,1.0,1.0,,,,,,,,,,,
387,グリプスライダー・フィン,6,攻撃,悪魔,闇,光,557,472,57,16,ダブルドロップ変化・闇光,背水の陣,3,,99 ,,2150,1416,86,1.0,1.0,1.0,闇属性強化,攻撃強化,光属性強化,,,,,,,,
388,戦女神・セイントミネルヴァ,7,神,バランス,火,光,1260,810,173,30,クイックボム,陽光の防壁,4,,99 ,,3069,1459,478,1.5,1.5,1.5,バインド耐性,お邪魔耐性,お邪魔耐性,バインド耐性,,,,,,,
389,戦女神・ダークミネルヴァ,7,神,悪魔,火,闇,1260,810,173,30,クイックボム,邪炎の防壁,4,,99 ,,3069,1459,478,1.5,1.5,1.5,バインド耐性,お邪魔耐性,お邪魔耐性,バインド耐性,,,,,,,
390,海王神・ヘブンズネプチューン,7,神,体力,水,光,1280,805,165,30,ヒュドラの毒,聖海の防壁,4,,99 ,,3102,1451,467,1.5,1.5,1.5,バインド耐性,毒耐性,毒耐性,バインド耐性,,,,,,,
391,海王神・アビスネプチューン,7,神,悪魔,水,闇,1280,805,165,30,ヒュドラの毒,魔氷の防壁,4,,99 ,,3102,1451,467,1.5,1.5,1.5,バインド耐性,毒耐性,毒耐性,バインド耐性,,,,,,,
392,豊穣神・ホーリーセレス,7,神,回復,木,光,1110,675,285,30,完治の光,聖樹の防壁,4,,99 ,,2574,1161,741,1.5,1.5,1.5,バインド回復,自動回復,バインド耐性,バインド耐性,,,,,,,
393,豊穣神・イービルセレス,7,神,悪魔,木,闇,1110,675,285,30,完治の光,呪花の防壁,4,,99 ,,2574,1161,741,1.5,1.5,1.5,バインド回復,自動回復,バインド耐性,バインド耐性,,,,,,,
394,慈愛神・コスモスヴィーナス,7,神,回復,光,光,1050,692,308,30,チェンジ・ザ・ワールド,光神の守護,4,,99 ,,2475,1286,685,1.5,1.5,1.5,2体攻撃,自動回復,スキルブースト,光属性強化,,,,,,,
395,慈愛神・カオスヴィーナス,7,神,悪魔,光,闇,1050,692,308,30,チェンジ・ザ・ワールド,聖魔の防壁,4,,99 ,,2475,1186,685,1.5,1.5,1.5,2体攻撃,自動回復,スキルブースト,光属性強化,,,,,,,
396,冥界神・アークハーデス,7,神,悪魔,闇,光,1140,777,158,30,ギガグラビティ,聖魔の防壁,4,30%,99 ,,2871,1510,456,1.5,1.5,1.5,闇ドロップ強化,暗闇耐性,スキルブースト,闇属性強化,,,,,,,
397,冥界神・インフェルノハーデス,7,神,悪魔,闇,闇,1140,777,158,30,ギガグラビティ,死神の守護,4,30%,99 ,,2871,1610,456,1.5,1.5,1.5,闇ドロップ強化,暗闇耐性,スキルブースト,闇属性強化,,,,,,,
398,フェニックス,4,攻撃,,火,,98,178,178,7,ドロップ強化・火,なし,0,,35 ,,294,534,374,0.7,0.7,0.7,,,,,,,,,,,
399,転生の霊鳥・フェニックス,5,攻撃,,火,,235,481,337,18,ドロップ強化・火,なし,3,,99 ,,588,1443,506,0.7,0.7,0.7,自動回復,スキルブースト,火属性強化,,,,,,,,
400,クラーケン,4,攻撃,,水,,216,210,0,7,ドロップ強化・水,なし,0,,35 ,,864,603,0,0.7,0.7,0.7,,,,,,,,,,,
401,大洋の悪魔・クラーケン,5,攻撃,悪魔,水,,691,543,0,18,ドロップ強化・水,なし,3,,99 ,,2211,1629,-100,0.7,0.7,0.7,暗闇耐性,スキルブースト,水属性強化,,,,,,,,
402,グリフォン,4,攻撃,,木,,81,190,164,7,ドロップ強化・木,なし,0,,35 ,,208,488,305,0.7,0.7,0.7,,,,,,,,,,,
403,疾風の狩人・グリフォン,5,攻撃,,木,,194,513,310,18,ドロップ強化・木,なし,3,,99 ,,635,1539,465,0.7,0.7,0.7,バインド耐性,スキルブースト,木属性強化,,,,,,,,
404,ユニコーン,4,攻撃,,光,,99,175,176,7,ドロップ強化・光,なし,0,,35 ,,297,525,370,0.7,0.7,0.7,,,,,,,,,,,
405,聖女の守護獣・ユニコーン,5,攻撃,,光,,238,473,333,18,ドロップ強化・光,なし,3,,99 ,,595,1419,500,0.7,0.7,0.7,お邪魔耐性,スキルブースト,光属性強化,,,,,,,,
406,ケルベロス,4,攻撃,,闇,,191,205,0,7,ドロップ強化・闇,なし,0,,35 ,,764,615,0,0.7,0.7,0.7,,,,,,,,,,,
407,地獄の番犬・ケルベロス,5,攻撃,悪魔,闇,,611,554,0,18,ドロップ強化・闇,なし,3,,99 ,,1955,1662,-100,0.7,0.7,0.7,毒耐性,スキルブースト,闇属性強化,,,,,,,,
408,究極炎龍・ムスプルヘイム,7,ドラゴン,,火,火,495,330,52,35,ゴッドマグマブレス,炎の防壁,2,,99 ,,3018,1508,142,1.5,1.5,1.5,火ドロップ強化,スキルブースト,,,,,,,,,
409,究極氷龍・ニブルヘイム,7,ドラゴン,,水,水,510,322,53,35,ゴッドブリザードブレス,氷の防壁,2,,99 ,,3165,1422,153,1.5,1.5,1.5,水ドロップ強化,スキルブースト,,,,,,,,,
410,究極島龍・ユグドラシル,7,ドラゴン,,木,木,518,319,55,35,ゴッドガイアブレス,大樹の防壁,2,,99 ,,3197,1407,175,1.5,1.5,1.5,木ドロップ強化,スキルブースト,,,,,,,,,
411,究極機龍・ヴァルハラ,7,ドラゴン,,光,光,503,325,54,35,ゴッドホーリーブレス,光の防壁,2,,99 ,,3050,1456,164,1.5,1.5,1.5,光ドロップ強化,スキルブースト,,,,,,,,,
412,究極邪龍・ヘルヘイム,7,ドラゴン,,闇,闇,488,333,51,35,ゴッドヘルブレス,闇の防壁,2,,99 ,,3002,1422,131,1.5,1.5,1.5,闇ドロップ強化,スキルブースト,,,,,,,,,
413,蒼炎龍・ムスプルヘイム,6,ドラゴン,,水,,495,330,52,25,ゴッドマグマブレス,氷の防壁,2,,99 ,,3018,1508,142,0.0,0.0,0.0,水ドロップ強化,スキルブースト,,,,,,,,,
414,ミツキ,4,回復,,火,,92,40,79,6,ダブル防御態勢・火,なし,0,,15 ,,276,100,166,0.7,0.7,0.7,,,,,,,,,,,
415,火の案内人・ミツキ,5,回復,,火,,221,90,149,9,ダブル防御態勢・火,大地の恵み,0,,50 ,,729,270,313,0.7,0.7,0.7,,,,,,,,,,,
416,焔尾の天狐・ミツキ,6,回復,,火,,583,243,282,15,ダブル防御態勢・火,星の恵み,3,,99 ,,1924,729,592,0.7,0.7,0.7,HP強化,自動回復,バインド回復,,,,,,,,
417,ルカ,4,回復,,水,,94,39,77,6,ダブル防御態勢・水,なし,0,,15 ,,282,98,162,0.7,0.7,0.7,,,,,,,,,,,
418,水の案内人・ルカ,5,回復,,水,,226,88,146,9,ダブル防御態勢・水,大地の恵み,0,,50 ,,746,264,307,0.7,0.7,0.7,,,,,,,,,,,
419,海洋の才女・ルカ,6,回復,,水,,597,238,276,15,ダブル防御態勢・水,星の恵み,3,,99 ,,1970,714,580,0.7,0.7,0.7,HP強化,自動回復,バインド回復,,,,,,,,
420,カノ,4,回復,,木,,93,37,81,6,ダブル防御態勢・木,なし,0,,15 ,,279,93,170,0.7,0.7,0.7,,,,,,,,,,,
421,木の案内人・カノ,5,回復,,木,,223,84,153,9,ダブル防御態勢・木,大地の恵み,0,,50 ,,736,252,321,0.7,0.7,0.7,,,,,,,,,,,
422,森羅の神子・カノ,6,回復,,木,,589,227,289,15,ダブル防御態勢・木,星の恵み,3,,99 ,,1944,681,607,0.7,0.7,0.7,HP強化,自動回復,バインド回復,,,,,,,,
423,フウ,4,回復,,光,,90,43,73,6,ダブル防御態勢・光,なし,0,,15 ,,270,108,153,0.7,0.7,0.7,,,,,,,,,,,
424,光の案内人・フウ,6,回復,,光,,216,97,138,9,ダブル防御態勢・光,大地の恵み,0,,55 ,,713,291,290,0.7,0.7,0.7,,,,,,,,,,,
425,草原の舞姫・フウ,6,回復,,光,,570,262,261,15,ダブル防御態勢・光,星の恵み,3,,99 ,,1881,786,548,0.7,0.7,0.7,HP強化,自動回復,バインド回復,,,,,,,,
426,クロネ,4,回復,,闇,,91,41,74,6,ダブル防御態勢・闇,なし,0,,15 ,,273,103,155,0.7,0.7,0.7,,,,,,,,,,,
427,闇の案内人・クロネ,5,回復,,闇,,218,93,140,9,ダブル防御態勢・闇,大地の恵み,0,,50 ,,719,279,294,0.7,0.7,0.7,,,,,,,,,,,
428,宵闇の猫又・クロネ,6,回復,,闇,,575,251,265,15,ダブル防御態勢・闇,星の恵み,3,,99 ,,1898,753,557,0.7,0.7,0.7,HP強化,自動回復,バインド回復,,,,,,,,
429,クイーンメタルドラゴン,5,強化合成用,,闇,,400,300,300,1,なし,なし,0,,1 ,,400,300,300,1.0,1.0,1.0,,,,,,,,,,,
430,クイーンゴールドドラゴン,5,強化合成用,,光,,400,300,300,1,なし,なし,0,,1 ,,400,300,300,1.0,1.0,1.0,,,,,,,,,,,
431,下仁田ネギ,3,回復,,木,,20,40,40,5,なし,なし,0,,10 ,,200,400,400,1.0,1.0,1.0,,,,,,,,,,,
432,超・下仁田ネギ,4,進化用,,木,,400,800,800,10,鉄壁の構え,なし,0,,1 ,,400,800,800,1.0,1.0,1.0,,,,,,,,,,,
433,下仁田こんにゃく,2,体力,,水,,80,10,10,5,なし,なし,0,,10 ,,800,100,100,1.0,1.0,1.0,,,,,,,,,,,
434,超・下仁田こんにゃく,3,進化用,,水,,1600,200,200,10,ブリザードブレス,なし,0,,1 ,,1600,200,200,1.0,1.0,1.0,,,,,,,,,,,
435,嬬恋キャベツ,2,バランス,,木,,40,30,30,5,なし,なし,0,,10 ,,400,300,300,1.0,1.0,1.0,,,,,,,,,,,
436,超・嬬恋キャベツ,3,進化用,,木,,800,600,600,10,ガイアブレス,なし,0,,1 ,,800,600,600,1.0,1.0,1.0,,,,,,,,,,,
437,だるま,3,攻撃,,火,,30,50,20,5,マグマブレス,なし,0,,15 ,,300,500,200,1.0,1.0,1.0,,,,,,,,,,,
438,超・だるま,4,攻撃,,火,,240,415,180,10,クイックボム,なし,0,,30 ,,600,1000,400,1.0,1.0,1.0,,,,,,,,,,,
439,ぐんまけん,5,神,,木,,480,900,360,15,草津の温泉,ぐんまのやぼう,0,,50 ,,1488,1080,432,1.0,1.0,1.0,,,,,,,,,,,
440,超・ぐんまけん,6,神,,木,,1190,972,389,20,草津の温泉,ぐんまのやぼう,3,,99 ,,3689,1166,467,1.0,1.0,1.0,木属性強化,自動回復,自動回復,,,,,,,,
441,火の歴龍・アードベッグ,6,ドラゴン,,火,,1406,557,119,60,ブレイズボール,豊穣の力,2,,99 ,,3796,1170,418,1.5,1.5,1.5,火ドロップ強化,スキルブースト,,,,,,,,,
442,水の歴龍・ボウモア,6,ドラゴン,,水,,1421,548,121,60,スプラッシュボール,豊穣の力,2,,99 ,,3837,1151,425,1.5,1.5,1.5,水ドロップ強化,スキルブースト,,,,,,,,,
443,木の歴龍・ラガヴーリン,6,ドラゴン,,木,,1439,539,123,60,プラントボール,豊穣の力,2,,99 ,,3885,1132,432,1.5,1.5,1.5,木ドロップ強化,スキルブースト,,,,,,,,,
444,光の歴龍・ラフロイグ,6,ドラゴン,,光,,1414,530,125,60,プラズマボール,豊穣の力,2,,99 ,,3818,1113,439,1.5,1.5,1.5,光ドロップ強化,スキルブースト,,,,,,,,,
445,闇の歴龍・カリラ,6,ドラゴン,,闇,,1429,566,117,60,カースボール,豊穣の力,2,,99 ,,3858,1189,411,1.5,1.5,1.5,闇ドロップ強化,スキルブースト,,,,,,,,,
446,チョコボ,3,特別保護,,光,,99,47,83,7,チョコアタック,チョコバリア,2,,99 ,,2148,992,423,1.0,1.0,1.0,2体攻撃,光ドロップ強化,,,,,,,,,
447,竜騎士,4,体力,,水,,351,119,35,10,ジャンプ,なし,0,,50 ,,1580,536,74,1.0,1.0,1.0,,,,,,,,,,,
448,最強装備・竜騎士,5,体力,,水,,1264,482,67,15,ジャンプ,竜の魂,3,,99 ,,3160,1205,141,1.0,1.0,1.0,水属性強化,水属性強化,スキルブースト,,,,,,,,
449,バーサーカー,4,体力,,火,,393,129,1,10,いかりのいちげき,なし,0,,50 ,,1769,581,2,1.0,1.0,1.0,,,,,,,,,,,
450,最強装備・バーサーカー,5,体力,,火,,1415,523,2,15,いかりのいちげき,瀕死バーサク,3,,99 ,,3538,1308,4,1.0,1.0,1.0,火属性強化,スキルブースト,スキルブースト,,,,,,,,
451,弓使い,4,バランス,,木,,243,121,97,10,ためる,なし,0,,50 ,,1094,545,204,1.0,1.0,1.0,,,,,,,,,,,
452,最強装備・弓使い,5,バランス,,木,,875,491,184,15,ためる,精神統一,3,,99 ,,2188,1128,486,1.0,1.0,1.0,木ドロップ強化,HP強化,木属性強化,,,,,,,,
453,ソルジャー,4,バランス,,光,,262,127,85,10,みやぶる,なし,0,,50 ,,1179,572,179,1.0,1.0,1.0,,,,,,,,,,,
454,最強装備・ソルジャー,5,バランス,,光,,943,515,161,15,みやぶる,応急処置,2,,99 ,,2358,1288,338,1.0,1.0,1.0,光ドロップ強化,暗闇耐性,,,,,,,,,
455,黒魔道士,4,攻撃,,闇,,169,148,75,10,ブリザガ,なし,0,,50 ,,761,671,158,1.0,1.0,1.0,,,,,,,,,,,
456,最強装備・黒魔道士,5,攻撃,,闇,,609,604,142,15,ブリザガ,属性強化,3,,99 ,,1523,1510,298,1.0,1.0,1.0,闇属性強化,スキルブースト,水属性強化,,,,,,,,
457,時魔道士,5,回復,,光,,259,120,168,13,スロウ,ヘイスガ,0,,50 ,,1166,540,353,1.0,1.0,1.0,,,,,,,,,,,
458,最強装備・時魔道士,6,回復,,光,,933,486,318,19,スロウ,ヘイスガ,3,,99 ,,2333,1215,668,1.0,1.0,1.0,光ダメージ軽減,光ダメージ軽減,操作時間延長,,,,,,,,
459,シーフ,5,バランス,,木,,280,140,122,13,みかわし,コインを盗む,0,,50 ,,1260,630,256,1.0,1.0,1.0,,,,,,,,,,,
460,最強装備・シーフ,6,バランス,,木,,1008,567,230,19,みかわし,コインを盗む,3,,99 ,,2520,1418,483,1.0,1.0,1.0,2体攻撃,木ドロップ強化,バインド耐性,,,,,,,,
461,ベヒーモス,3,攻撃,,火,,246,142,0,7,シールドブレイク,なし,0,,35 ,,1107,639,0,1.0,1.0,1.0,,,,,,,,,,,
462,アパンダ,4,攻撃,悪魔,火,,886,575,0,12,シールドブレイク,カウンター,2,,70 ,,2215,1438,0,1.0,1.0,1.0,攻撃強化,火属性強化,,,,,,,,,
463,モルボル,3,体力,,木,,336,66,79,7,くさい息,なし,0,,35 ,,1512,297,166,1.0,1.0,1.0,,,,,,,,,,,
464,モルボルキング,4,体力,,木,,1210,267,149,12,くさい息,モルボルソング,0,,70 ,,3025,668,313,1.0,1.0,1.0,,,,,,,,,,,
465,トンベリ,3,バランス,,水,,173,107,39,7,包丁,なし,0,,35 ,,779,482,82,1.0,1.0,1.0,,,,,,,,,,,
